epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.029388156399798,0.30113734814292686,1.0204977526593564,0.039159360923866786
1,0.001,0.8117836135536877,0.5020099972950814,0.6590990949032912,0.6293962555979561
2,0.001,0.6705443396497128,0.5886358780453277,0.5460007724477284,0.6722008066040728
3,0.001,0.5715965263879121,0.6212977521535841,0.5091930183012094,0.6906607259494236
4,0.001,0.47782729855224265,0.6693705547877977,0.4417052420217599,0.6875490832417528
5,0.001,0.41972193833607346,0.6802436879450114,0.36062639417932996,0.7452712054632976
6,0.001,0.37682107847128343,0.6935906395436966,0.3413132945103432,0.7444378818439664
7,0.001,0.3559225410667818,0.6989431151412233,0.48754776191355575,0.5627442588418154
8,0.001,0.3316090195926268,0.7085311493252177,0.28227704607728704,0.7749943861501699
9,0.001,0.3291252462276772,0.6961923781845203,0.32910976614525067,0.7546169583745206
10,0.001,0.3116937546587702,0.7167857644480611,0.3140811986887633,0.7043312382455268
11,0.001,0.29950770891424433,0.7167964553115069,0.23209412129067664,0.7989915050704629
12,0.001,0.2814784468109928,0.736997041540922,0.23774210041138663,0.7925060395745059
13,0.001,0.2824511788229444,0.7272149907876629,0.23881295189928653,0.7876318855753047
14,0.001,0.27194068436302354,0.7445089960534855,0.24117835355338765,0.7827108563179538
15,0.001,0.2640567279573697,0.7388547787786763,0.24763927642089217,0.7862465495740629
16,0.001,0.25315903994574473,0.7617090163882171,0.2136832190983331,0.8129417153509109
17,0.001,0.2667459976762088,0.7422805384506785,0.21435749575273313,0.8039750284978917
18,0.001,0.2540342974573819,0.7549182764760561,0.20501243400929578,0.8087084571578573
19,0.001,0.2578774164639302,0.756259691857355,0.23206789791584015,0.7980799520685224
20,0.001,0.24864124428870074,0.7529033922483536,0.2537115927952439,0.7941765819303519
21,0.001,0.2512451948514625,0.749998371535559,0.2101829038627112,0.8144345927904929
22,0.001,0.24804960836225481,0.7533541004115939,0.3506032366361191,0.7440999524276296
23,0.001,0.24230134353708865,0.7460527361382235,0.18609686418255764,0.8245979894293166
24,0.001,0.24008890319226392,0.7645414008128951,0.19870101982977853,0.8208024580093856
25,0.001,0.23751109360314127,0.7606460575913007,0.19194770926859842,0.8210966534042881
26,0.001,0.23220988641034312,0.7709746947924123,0.19721030610710827,0.8171513111544499
27,0.001,0.21989454295653016,0.7832788970809582,0.19202976440315817,0.8252022781371567
28,0.001,0.22415230034002617,0.7709285333107222,0.182455007709674,0.8261531530455327
29,0.001,0.22994148531066838,0.7737665899419873,0.18083733364717283,0.8280380421289768
30,0.001,0.22841498789502612,0.7681283653771048,0.18699195981025696,0.8219201545872838
31,0.001,0.22174554974285524,0.7709568630754089,0.20267923154048065,0.8146195581240393
32,0.001,0.21497345504476062,0.7825996502426487,0.18335838727097012,0.8250402586515415
33,0.001,0.21644074458684495,0.7810921543166953,0.18078077039611873,0.8262831479071887
34,0.001,0.22814750259936745,0.7668711731971973,0.18605889935991657,0.8206282920329258
35,0.001,0.22201743266030924,0.7748820193678838,0.17485484547579466,0.8271825053755534
